Driver,Compound,LapTime_s
ALB,HARD,80.98406578947368
ALB,MEDIUM,2494.817
ALO,HARD,2513.184
ALO,MEDIUM,81.14965333333333
BOT,HARD,119.22214516129033
BOT,MEDIUM,86.30492857142858
GAS,HARD,2497.695
GAS,MEDIUM,81.02763157894738
HAM,HARD,161.82175
HAM,MEDIUM,80.1355306122449
LEC,HARD,78.43903947368422
LEC,MEDIUM,2456.33
NOR,HARD,78.53284210526316
NOR,MEDIUM,2468.042
PIA,HARD,78.5241447368421
PIA,MEDIUM,2458.744
RIC,HARD,81.22948000000001
RIC,MEDIUM,2507.607
RUS,HARD,2473.884
RUS,MEDIUM,78.5896447368421
SAI,HARD,78.52307894736842
SAI,MEDIUM,2462.721
SAR,HARD,125.20152631578948
SAR,MEDIUM,77.26805263157895
STR,HARD,429.7528571428571
STR,MEDIUM,82.82460975609757
STR,SOFT,78.48007142857143
TSU,HARD,80.87410526315789
TSU,MEDIUM,2488.609
VER,HARD,164.80362962962965
VER,MEDIUM,80.04532
ZHO,HARD,81.89976811594202
ZHO,MEDIUM,2526.253
ZHO,SOFT,78.91283333333332
