Driver,AvgLapTime_s,NumPitStops,Position
ALB,112.33254545454545,1,9.0
ALO,113.15010526315788,1,11.0
BOT,113.15844736842105,2,13.0
GAS,112.41292207792208,1,10.0
HAM,109.83961038961039,2,7.0
LEC,109.32074025974026,1,1.0
NOR,109.56542857142858,1,4.0
PIA,109.43609090909091,1,2.0
RIC,113.15549999999999,1,12.0
RUS,109.69736363636363,1,5.0
SAI,109.48668831168831,1,3.0
SAR,113.21815789473685,2,15.0
STR,113.17790789473685,3,14.0
TSU,112.1433896103896,1,8.0
VER,109.76576623376623,2,6.0
ZHO,113.82650000000001,2,16.0
